competition_name,gender,country,season_end_year,squad,team_or_opponent,num_players,mins_per_90,tkl_tackles,tkl_w_tackles,def_3rd_tackles,mid_3rd_tackles,att_3rd_tackles,tkl_vs,att_vs,tkl_percent_vs,past_vs,press_pressures,succ_pressures,percent_pressures,def_3rd_pressures,mid_3rd_pressures,att_3rd_pressures,blocks_blocks,sh_blocks,sh_sv_blocks,pass_blocks,int,tkl_plus_int,clr,err
Ligue 1,M,FRA,2019,Nice,team,30,38,642,385,336,241,65,226,679,33.3,453,6017,1591,26.4,2135,2715,1167,591,123,5,468,325,967,802,9
Ligue 1,M,FRA,2019,Nîmes,team,23,38,735,462,398,258,79,264,798,33.1,534,6440,1703,26.4,2180,3080,1180,615,120,2,495,277,1012,892,10
Ligue 1,M,FRA,2019,Paris S-G,team,30,38,668,421,286,285,97,251,740,33.9,489,6356,1821,28.7,1802,2962,1592,516,104,2,412,249,917,553,13
Ligue 1,M,FRA,2019,Reims,team,27,38,759,453,437,243,79,251,772,32.5,521,7066,1773,25.1,2548,3131,1387,586,118,2,468,344,1103,966,8
Ligue 1,M,FRA,2019,Rennes,team,28,38,641,378,294,262,85,232,704,33,472,6289,1687,26.8,2168,2932,1189,547,122,5,425,285,926,811,5
Ligue 1,M,FRA,2019,Saint-Étienne,team,29,38,669,427,317,267,85,210,709,29.6,499,5978,1586,26.5,2004,2790,1184,517,95,2,422,304,973,826,12
Ligue 1,M,FRA,2019,Strasbourg,team,26,38,647,384,317,247,83,214,626,34.2,412,6269,1570,25,2262,2917,1090,536,129,4,407,347,994,796,10
Ligue 1,M,FRA,2019,Toulouse,team,29,38,705,459,394,227,84,239,655,36.5,416,6537,1739,26.6,2478,2789,1270,633,142,3,491,300,1005,919,9
Ligue 1,M,FRA,2019,vs Amiens,opponent,26,38,633,391,297,264,72,191,576,33.2,385,5449,1575,28.9,1811,2667,971,547,104,2,443,275,908,855,9
Ligue 1,M,FRA,2019,vs Angers,opponent,24,38,741,472,351,293,97,225,696,32.3,471,6167,1684,27.3,1938,2931,1298,517,104,0,413,265,1006,805,12
Ligue 1,M,FRA,2019,vs Bordeaux,opponent,33,38,724,481,317,315,92,223,723,30.8,500,7233,2009,27.8,2120,3594,1519,570,105,1,465,355,1079,749,8
Ligue 1,M,FRA,2019,vs Caen,opponent,27,38,690,421,290,314,86,254,692,36.7,438,5758,1621,28.2,1465,3043,1250,489,109,2,380,271,961,939,6
Ligue 1,M,FRA,2019,vs Dijon,opponent,26,38,633,411,305,267,61,170,623,27.3,453,5775,1585,27.4,1884,2779,1112,544,114,2,430,237,870,896,5
Ligue 1,M,FRA,2019,vs Guingamp,opponent,30,38,712,431,391,239,82,235,729,32.2,494,5536,1582,28.6,2069,2424,1043,598,118,1,480,315,1027,1019,8
Ligue 1,M,FRA,2019,vs Lille,opponent,25,38,738,468,361,293,84,229,702,32.6,473,6222,1648,26.5,2213,2925,1084,543,109,3,434,279,1017,819,11
Ligue 1,M,FRA,2019,vs Lyon,opponent,25,38,694,448,381,235,78,234,802,29.2,568,7300,1696,23.2,2823,3306,1171,608,164,3,444,435,1129,787,14
Ligue 1,M,FRA,2019,vs Marseille,opponent,24,38,675,390,371,252,52,248,699,35.5,451,7137,1643,23,2414,3438,1285,626,136,2,490,286,961,963,8
Ligue 1,M,FRA,2019,vs Monaco,opponent,42,38,651,405,333,251,67,229,662,34.6,433,6735,1857,27.6,2427,3168,1140,638,138,4,500,312,963,804,5
Ligue 1,M,FRA,2019,vs Montpellier,opponent,25,38,652,419,341,243,68,209,660,31.7,451,6482,1756,27.1,2185,3010,1287,593,110,2,483,270,922,1014,11
Ligue 1,M,FRA,2019,vs Nantes,opponent,33,38,615,359,320,232,63,182,586,31.1,404,6221,1759,28.3,2450,2644,1127,614,136,0,478,355,970,883,8
Ligue 1,M,FRA,2019,vs Nice,opponent,30,38,809,532,400,314,95,329,992,33.2,663,7155,1813,25.3,2234,3370,1551,532,127,2,405,326,1135,587,2
Ligue 1,M,FRA,2019,vs Nîmes,opponent,23,38,707,434,369,260,78,251,736,34.1,485,6041,1784,29.5,2293,2603,1145,571,131,0,440,273,980,971,8
Ligue 1,M,FRA,2019,vs Paris S-G,opponent,30,38,734,513,402,253,79,267,885,30.2,618,8242,1730,21,3150,3790,1302,573,141,13,432,378,1112,730,12
Ligue 1,M,FRA,2019,vs Reims,opponent,27,38,629,411,279,254,96,208,673,30.9,465,5638,1670,29.6,1731,2506,1401,544,97,4,447,279,908,829,6
Ligue 1,M,FRA,2019,vs Rennes,opponent,28,38,762,472,398,284,80,274,785,34.9,511,6748,1738,25.8,2402,3144,1202,578,117,4,461,298,1060,797,7
Ligue 1,M,FRA,2019,vs Saint-Étienne,opponent,29,38,646,393,321,237,88,213,620,34.4,407,6610,1564,23.7,2142,3014,1454,639,151,7,488,285,931,858,15
Ligue 1,M,FRA,2019,vs Strasbourg,opponent,26,38,642,382,303,247,92,218,623,35,405,6314,1662,26.3,2026,2953,1335,601,100,7,501,268,910,861,7
Ligue 1,M,FRA,2019,vs Toulouse,opponent,29,38,745,451,404,256,85,231,736,31.4,505,6198,1831,29.5,2128,2916,1154,519,113,4,406,342,1087,769,11
Ligue 1,M,FRA,2018,Amiens,team,30,38,606,369,339,203,64,168,529,31.8,361,4874,1347,27.6,1849,2140,885,650,174,4,476,502,1108,765,12
Ligue 1,M,FRA,2018,Angers,team,27,38,571,357,320,194,57,167,623,26.8,456,5172,1333,25.8,1699,2510,963,566,81,2,485,402,973,550,11
Ligue 1,M,FRA,2018,Bordeaux,team,31,38,652,412,332,252,68,187,579,32.3,392,5072,1461,28.8,1646,2339,1087,521,112,4,409,432,1084,577,12
Ligue 1,M,FRA,2018,Caen,team,26,38,638,372,350,224,64,199,654,30.4,455,5833,1541,26.4,1963,2727,1143,631,105,2,526,515,1153,675,11
Ligue 1,M,FRA,2018,Dijon,team,26,38,628,384,347,227,54,155,550,28.2,395,5360,1490,27.8,1877,2419,1064,555,123,4,432,474,1102,586,7
Ligue 1,M,FRA,2018,Guingamp,team,23,38,564,346,307,193,64,161,536,30,375,4879,1344,27.5,1618,2246,1015,518,129,5,389,482,1046,621,6
Ligue 1,M,FRA,2018,Lille,team,25,38,609,367,338,213,58,174,502,34.7,328,4622,1335,28.9,1606,2115,901,542,111,4,431,445,1054,519,16
Ligue 1,M,FRA,2018,Lyon,team,26,38,568,362,293,205,70,153,480,31.9,327,6138,1724,28.1,2076,2677,1385,517,119,3,398,437,1005,525,14
Ligue 1,M,FRA,2018,Marseille,team,26,38,663,406,328,252,83,202,573,35.3,371,4573,1471,32.2,1497,1976,1100,561,102,4,459,405,1068,391,8
Ligue 1,M,FRA,2018,Metz,team,36,38,663,401,365,224,74,221,620,35.6,399,4592,1343,29.2,1689,2033,870,523,107,4,416,416,1079,548,13
Ligue 1,M,FRA,2018,Monaco,team,32,38,609,373,257,254,98,182,607,30,425,5299,1497,28.3,1487,2439,1373,545,107,5,438,424,1033,549,11
Ligue 1,M,FRA,2018,Montpellier,team,23,38,598,373,326,216,56,166,479,34.7,313,5227,1451,27.8,1740,2470,1017,529,104,0,425,415,1013,544,15
Ligue 1,M,FRA,2018,Nantes,team,30,38,673,403,376,236,61,229,618,37.1,389,5033,1371,27.2,1590,2283,1160,692,154,6,538,457,1130,691,8
Ligue 1,M,FRA,2018,Nice,team,31,38,536,319,327,154,55,176,505,34.9,329,4664,1303,27.9,1832,1875,957,561,138,2,423,414,950,479,7
Ligue 1,M,FRA,2018,Paris S-G,team,26,38,571,375,274,206,91,166,516,32.2,350,4395,1345,30.6,1427,1763,1205,473,109,3,364,299,870,395,5
Ligue 1,M,FRA,2018,Rennes,team,28,38,497,315,248,178,71,157,573,27.4,416,5207,1411,27.1,1553,2373,1281,598,102,6,496,434,931,604,13
Ligue 1,M,FRA,2018,Saint-Étienne,team,30,38,558,352,315,184,59,189,567,33.3,378,4936,1353,27.4,1817,2125,994,626,134,6,492,380,938,641,20
Ligue 1,M,FRA,2018,Strasbourg,team,25,38,666,442,396,213,57,186,578,32.2,392,4537,1279,28.2,1665,1992,880,533,97,3,436,473,1139,568,19
Ligue 1,M,FRA,2018,Toulouse,team,25,38,589,338,326,194,69,169,550,30.7,381,4953,1342,27.1,1832,2097,1024,579,116,0,463,430,1019,594,13
Ligue 1,M,FRA,2018,Troyes,team,25,38,544,317,326,156,62,148,565,26.2,417,5851,1493,25.5,2327,2559,965,551,128,4,423,446,990,658,13
Ligue 1,M,FRA,2018,vs Amiens,opponent,30,38,604,386,283,248,73,167,517,32.3,350,4349,1458,33.5,1268,1970,1111,506,93,4,413,394,998,517,11
Ligue 1,M,FRA,2018,vs Angers,opponent,27,38,620,371,324,225,71,198,540,36.7,342,4788,1464,30.6,1639,2174,975,586,115,2,471,440,1060,518,10
Ligue 1,M,FRA,2018,vs Bordeaux,opponent,31,38,636,389,340,210,86,195,622,31.4,427,5043,1367,27.1,1807,2211,1025,560,111,6,449,426,1062,586,7
Ligue 1,M,FRA,2018,vs Caen,opponent,26,38,502,311,253,193,56,131,457,28.7,326,4153,1296,31.2,1488,1762,903,590,126,0,464,439,941,687,9
Ligue 1,M,FRA,2018,vs Dijon,opponent,26,38,578,382,274,226,78,170,570,29.8,400,4683,1378,29.4,1337,2118,1228,504,105,2,399,389,967,537,12
Ligue 1,M,FRA,2018,vs Guingamp,opponent,23,38,582,348,332,197,53,145,519,27.9,374,5688,1519,26.7,1960,2610,1118,539,95,4,444,423,1005,622,13
Ligue 1,M,FRA,2018,vs Lille,opponent,25,38,723,454,349,276,98,206,724,28.5,518,5657,1474,26.1,1812,2590,1255,549,101,2,448,471,1194,506,7
Ligue 1,M,FRA,2018,vs Lyon,opponent,26,38,714,441,419,230,65,232,706,32.9,474,5220,1332,25.5,1852,2357,1011,571,148,7,423,441,1155,476,12
Ligue 1,M,FRA,2018,vs Marseille,opponent,26,38,610,350,371,183,56,182,575,31.7,393,4933,1249,25.3,1798,2150,985,623,172,6,451,409,1019,657,15
Ligue 1,M,FRA,2018,vs Metz,opponent,36,38,550,345,320,193,37,158,499,31.7,341,4752,1419,29.9,1775,2073,904,561,110,2,451,415,965,532,15
Ligue 1,M,FRA,2018,vs Monaco,opponent,32,38,584,380,336,197,51,201,588,34.2,387,5699,1639,28.8,2047,2635,1017,563,128,5,435,393,977,593,5
Ligue 1,M,FRA,2018,vs Montpellier,opponent,23,38,594,373,363,182,49,175,503,34.8,328,4914,1434,29.2,1837,2086,991,578,110,3,468,453,1047,617,9
Ligue 1,M,FRA,2018,vs Nantes,opponent,30,38,553,338,306,191,56,144,473,30.4,329,4234,1321,31.2,1548,1827,859,577,145,2,432,477,1030,600,13
Ligue 1,M,FRA,2018,vs Nice,opponent,31,38,619,407,311,226,82,189,656,28.8,467,6190,1475,23.8,1764,2914,1512,530,124,2,406,445,1064,427,10
Ligue 1,M,FRA,2018,vs Paris S-G,opponent,26,38,635,370,366,200,69,262,810,32.3,548,7038,1405,20,2560,3212,1266,615,138,6,477,548,1183,593,27
Ligue 1,M,FRA,2018,vs Rennes,opponent,28,38,591,352,337,200,54,168,458,36.7,290,5065,1398,27.6,1934,2340,791,549,116,5,433,452,1043,651,14
Ligue 1,M,FRA,2018,vs Saint-Étienne,opponent,30,38,617,381,335,211,71,146,486,30,340,4790,1317,27.5,1684,2013,1093,584,104,4,480,477,1094,550,12
Ligue 1,M,FRA,2018,vs Strasbourg,opponent,25,38,517,298,254,199,64,135,487,27.7,352,4270,1219,28.5,1349,1905,1016,557,126,4,431,365,882,621,10
Ligue 1,M,FRA,2018,vs Toulouse,opponent,25,38,595,364,329,205,61,167,523,31.9,356,4978,1535,30.8,1816,2183,979,588,107,3,481,418,1013,664,15
Ligue 1,M,FRA,2018,vs Troyes,opponent,25,38,579,343,288,186,105,184,491,37.5,307,4773,1535,32.2,1515,2028,1230,541,78,2,463,407,986,526,8
Fußball-Bundesliga,M,GER,2020,Augsburg,team,28,34,549,331,276,212,61,190,632,30.1,442,5650,1440,25.5,1794,2622,1234,574,137,7,437,283,832,971,7
Fußball-Bundesliga,M,GER,2020,Bayern Munich,team,29,34,552,368,193,256,103,186,555,33.5,369,4904,1702,34.7,1119,2168,1617,462,89,1,373,220,772,565,3
Fußball-Bundesliga,M,GER,2020,Dortmund,team,27,34,596,401,276,250,70,221,551,40.1,330,5195,1676,32.3,1475,2388,1332,519,106,4,413,286,882,604,11
Fußball-Bundesliga,M,GER,2020,Düsseldorf,team,28,34,555,347,283,211,61,203,591,34.3,388,5503,1614,29.3,1787,2600,1116,558,118,4,440,302,857,759,10
Fußball-Bundesliga,M,GER,2020,Eint Frankfurt,team,27,34,679,444,311,289,79,207,630,32.9,423,5909,1837,31.1,1890,2636,1383,584,110,6,474,251,930,761,5
Fußball-Bundesliga,M,GER,2020,Freiburg,team,26,34,514,309,264,190,60,141,507,27.8,366,4807,1268,26.4,1675,2068,1064,564,170,3,394,255,769,1027,12
Fußball-Bundesliga,M,GER,2020,Hertha BSC,team,32,34,613,356,313,230,70,190,580,32.8,390,5758,1570,27.3,2030,2530,1198,651,142,4,509,304,917,986,17
Fußball-Bundesliga,M,GER,2020,Hoffenheim,team,31,34,590,353,335,200,55,225,585,38.5,360,4665,1377,29.5,1663,1976,1026,595,141,5,454,263,853,860,4
Fußball-Bundesliga,M,GER,2020,Köln,team,29,34,670,421,348,254,68,213,586,36.3,373,6341,1829,28.8,2141,2855,1345,593,113,2,480,272,942,947,4
Fußball-Bundesliga,M,GER,2020,Leverkusen,team,24,34,614,382,274,263,77,219,605,36.2,386,5211,1775,34.1,1533,2440,1238,553,93,2,460,246,860,750,9
Fußball-Bundesliga,M,GER,2020,M'Gladbach,team,25,34,630,400,290,260,80,216,626,34.5,410,5702,1687,29.6,1688,2620,1394,604,120,2,484,269,899,712,11
Fußball-Bundesliga,M,GER,2020,Mainz 05,team,25,34,630,386,304,263,63,201,572,35.1,371,6081,1663,27.3,1935,2851,1295,625,131,4,494,296,926,959,13
Fußball-Bundesliga,M,GER,2020,Paderborn 07,team,27,34,690,409,386,242,62,297,796,37.3,499,6339,1805,28.5,2114,2783,1442,676,134,4,542,262,952,888,9
Fußball-Bundesliga,M,GER,2020,RB Leipzig,team,29,34,659,420,290,278,91,242,661,36.6,419,5924,1939,32.7,1690,2876,1358,577,98,2,479,262,921,746,13
Fußball-Bundesliga,M,GER,2020,Schalke 04,team,29,34,691,430,312,284,95,248,693,35.8,445,6110,1887,30.9,1886,2771,1453,611,132,2,479,306,997,841,10
Fußball-Bundesliga,M,GER,2020,Union Berlin,team,26,34,629,369,325,239,65,214,638,33.5,424,5859,1672,28.5,1882,2780,1197,638,145,1,493,287,916,1093,3
Fußball-Bundesliga,M,GER,2020,Werder Bremen,team,30,34,636,397,315,238,83,227,633,35.9,406,5846,1675,28.7,2091,2543,1212,580,131,1,449,279,915,969,10
Fußball-Bundesliga,M,GER,2020,Wolfsburg,team,26,34,653,401,316,259,78,242,693,34.9,451,6106,1946,31.9,1715,2861,1530,590,96,2,494,281,934,896,12
Fußball-Bundesliga,M,GER,2020,vs Augsburg,opponent,28,34,594,366,288,230,76,204,488,41.8,284,4528,1556,34.4,1367,1926,1235,517,86,2,431,224,818,729,10
Fußball-Bundesliga,M,GER,2020,vs Bayern Munich,opponent,29,34,645,411,371,218,56,268,834,32.1,566,6795,1659,24.4,2565,3084,1146,628,138,6,490,363,1008,962,11
Fußball-Bundesliga,M,GER,2020,vs Dortmund,opponent,27,34,698,456,335,282,81,279,824,33.9,545,6628,1756,26.5,2108,3108,1412,583,112,4,471,379,1077,713,6
Fußball-Bundesliga,M,GER,2020,vs Düsseldorf,opponent,28,34,536,337,275,192,69,174,489,35.6,315,4639,1458,31.4,1576,1949,1114,556,141,2,415,241,777,839,10
Fußball-Bundesliga,M,GER,2020,vs Eint Frankfurt,opponent,27,34,563,354,295,229,39,202,569,35.5,367,5135,1594,31,1714,2407,1014,661,128,0,533,266,829,944,8
Fußball-Bundesliga,M,GER,2020,vs Freiburg,opponent,26,34,575,358,267,224,84,188,483,38.9,295,5347,1575,29.5,1661,2303,1383,583,132,6,451,227,802,963,6
Fußball-Bundesliga,M,GER,2020,vs Hertha BSC,opponent,32,34,581,352,276,230,75,181,595,30.4,414,5121,1611,31.5,1520,2362,1239,515,90,2,425,213,794,748,7
Fußball-Bundesliga,M,GER,2020,vs Hoffenheim,opponent,31,34,614,383,277,251,86,205,538,38.1,333,6210,1797,28.9,1699,2838,1673,551,121,3,430,224,838,738,6
Fußball-Bundesliga,M,GER,2020,vs Köln,opponent,29,34,529,312,225,223,81,179,493,36.3,314,5385,1597,29.7,1529,2485,1371,523,112,1,411,253,782,851,11
Fußball-Bundesliga,M,GER,2020,vs Leverkusen,opponent,24,34,703,441,319,309,75,253,758,33.4,505,7016,1875,26.7,2110,3431,1475,664,143,5,521,357,1060,960,10
Fußball-Bundesliga,M,GER,2020,vs M'Gladbach,opponent,25,34,632,412,295,260,77,228,683,33.4,455,5915,1812,30.6,1797,2766,1352,591,138,6,453,320,952,773,22
Fußball-Bundesliga,M,GER,2020,vs Mainz 05,opponent,25,34,618,381,319,224,75,214,662,32.3,448,5391,1762,32.7,1753,2410,1228,528,127,4,401,229,847,934,8
Fußball-Bundesliga,M,GER,2020,vs Paderborn 07,opponent,27,34,754,443,357,302,95,282,755,37.4,473,5750,1795,31.2,1695,2439,1616,629,130,2,499,277,1031,784,7
Fußball-Bundesliga,M,GER,2020,vs RB Leipzig,opponent,29,34,602,379,288,234,80,216,678,31.9,462,6341,1809,28.5,2122,2917,1302,641,134,3,507,338,940,880,10
Fußball-Bundesliga,M,GER,2020,vs Schalke 04,opponent,29,34,748,454,395,277,76,275,737,37.3,462,5677,1702,30,1805,2536,1336,563,109,4,454,250,998,867,8
Fußball-Bundesliga,M,GER,2020,vs Union Berlin,opponent,26,34,493,305,227,195,71,140,444,31.5,304,4853,1569,32.3,1525,2089,1239,572,111,2,461,229,722,909,7
Fußball-Bundesliga,M,GER,2020,vs Werder Bremen,opponent,30,34,594,373,279,251,64,191,487,39.2,296,5685,1694,29.8,1776,2684,1225,624,130,3,494,249,843,891,6
Fußball-Bundesliga,M,GER,2020,vs Wolfsburg,opponent,26,34,671,407,323,287,61,203,617,32.9,414,5494,1741,31.7,1786,2634,1074,625,124,1,501,285,956,849,10
Fußball-Bundesliga,M,GER,2019,Augsburg,team,30,34,582,372,284,232,66,178,539,33,361,5481,1372,25,1739,2535,1207,558,140,5,418,293,875,796,5
Fußball-Bundesliga,M,GER,2019,Bayern Munich,team,24,34,474,320,184,210,80,140,445,31.5,305,4461,1420,31.8,1043,2036,1382,426,75,3,351,215,689,418,6
Fußball-Bundesliga,M,GER,2019,Dortmund,team,23,34,519,346,245,210,64,167,458,36.5,291,5051,1452,28.7,1517,2269,1265,467,77,1,390,291,810,675,11
Fußball-Bundesliga,M,GER,2019,Düsseldorf,team,24,34,619,391,348,218,53,190,593,32,403,5911,1511,25.6,2199,2822,890,498,109,4,389,320,939,784,11
Fußball-Bundesliga,M,GER,2019,Eint Frankfurt,team,30,34,589,386,287,236,66,179,516,34.7,337,5874,1786,30.4,1893,2721,1260,583,100,9,483,314,903,702,5
Fußball-Bundesliga,M,GER,2019,Freiburg,team,28,34,527,319,302,172,53,173,547,31.6,374,5225,1209,23.1,1791,2323,1111,482,125,2,357,281,808,816,8
Fußball-Bundesliga,M,GER,2019,Hannover 96,team,32,34,578,368,333,196,49,200,657,30.4,457,5355,1415,26.4,2081,2334,940,589,132,2,457,297,875,888,10
Fußball-Bundesliga,M,GER,2019,Hertha BSC,team,26,34,551,345,279,224,48,155,496,31.3,341,5488,1406,25.6,1797,2556,1135,580,121,4,459,295,846,787,5
Fußball-Bundesliga,M,GER,2019,Hoffenheim,team,29,34,567,348,255,238,74,190,539,35.3,349,4971,1406,28.3,1580,2323,1068,530,120,2,410,306,873,694,6
Fußball-Bundesliga,M,GER,2019,Leverkusen,team,21,34,564,371,305,202,57,181,546,33.2,365,5021,1580,31.5,1579,2327,1115,548,98,2,450,293,857,705,4
Fußball-Bundesliga,M,GER,2019,M'Gladbach,team,22,34,512,322,252,209,51,158,479,33,321,5171,1268,24.5,1628,2515,1028,509,98,1,411,261,773,620,10
Fußball-Bundesliga,M,GER,2019,Mainz 05,team,28,34,519,300,247,211,61,157,512,30.7,355,5542,1374,24.8,1666,2541,1335,539,122,3,417,286,805,756,10
Fußball-Bundesliga,M,GER,2019,Nürnberg,team,27,34,564,363,342,179,43,212,564,37.6,352,5417,1257,23.2,2204,2328,885,511,122,2,389,290,854,877,5
Fußball-Bundesliga,M,GER,2019,RB Leipzig,team,23,34,649,394,304,270,75,224,613,36.5,389,5668,1830,32.3,1548,2747,1373,563,78,6,485,321,970,832,7
Fußball-Bundesliga,M,GER,2019,Schalke 04,team,32,34,627,384,283,270,74,207,634,32.6,427,5723,1529,26.7,1735,2727,1261,577,118,0,459,285,912,749,4
Fußball-Bundesliga,M,GER,2019,Stuttgart,team,26,34,605,382,343,201,61,161,503,32,342,5351,1439,26.9,1930,2387,1034,551,122,2,429,288,893,892,7
Fußball-Bundesliga,M,GER,2019,Werder Bremen,team,24,34,540,337,260,212,68,173,558,31,385,5510,1470,26.7,1730,2677,1103,534,112,1,422,305,845,855,7
Fußball-Bundesliga,M,GER,2019,Wolfsburg,team,25,34,589,397,303,217,69,209,572,36.5,363,5501,1519,27.6,1778,2415,1308,542,95,1,447,291,880,815,5
Fußball-Bundesliga,M,GER,2019,vs Augsburg,opponent,30,34,518,305,255,197,66,141,410,34.4,269,4993,1549,31,1461,2331,1201,555,100,3,455,278,796,738,8
Fußball-Bundesliga,M,GER,2019,vs Bayern Munich,opponent,24,34,581,360,363,177,41,203,689,29.5,486,6863,1382,20.1,2724,2919,1220,581,131,2,450,313,894,833,10
Fußball-Bundesliga,M,GER,2019,vs Dortmund,opponent,23,34,688,434,359,250,79,229,755,30.3,526,6445,1559,24.2,2182,3077,1186,571,120,4,451,340,1028,638,3
Fußball-Bundesliga,M,GER,2019,vs Düsseldorf,opponent,24,34,460,315,200,197,63,150,450,33.3,300,4504,1330,29.5,1316,2008,1180,485,96,2,389,264,724,591,8
Fußball-Bundesliga,M,GER,2019,vs Eint Frankfurt,opponent,30,34,587,369,320,217,50,176,502,35.1,326,4754,1499,31.5,1590,2215,949,537,84,1,453,314,901,884,7
Fußball-Bundesliga,M,GER,2019,vs Freiburg,opponent,28,34,543,352,243,223,77,172,477,36.1,305,5193,1335,25.7,1396,2423,1374,467,108,4,359,255,798,677,7
Fußball-Bundesliga,M,GER,2019,vs Hannover 96,opponent,32,34,637,418,290,263,84,192,537,35.8,345,5103,1620,31.7,1455,2439,1209,532,105,3,427,266,903,641,6
Fußball-Bundesliga,M,GER,2019,vs Hertha BSC,opponent,26,34,546,346,290,206,50,155,520,29.8,365,5421,1455,26.8,1688,2724,1009,457,95,2,362,292,838,730,5
Fußball-Bundesliga,M,GER,2019,vs Hoffenheim,opponent,29,34,595,375,322,196,77,213,636,33.5,423,6063,1685,27.8,2183,2638,1242,571,128,7,443,286,881,796,6
Fußball-Bundesliga,M,GER,2019,vs Leverkusen,opponent,21,34,607,394,286,270,51,203,604,33.6,401,6747,1610,23.9,2224,3231,1292,603,118,3,485,358,965,843,8
Fußball-Bundesliga,M,GER,2019,vs M'Gladbach,opponent,22,34,520,319,274,196,50,172,518,33.2,346,5561,1390,25,1730,2570,1261,511,129,5,382,320,840,650,5
Fußball-Bundesliga,M,GER,2019,vs Mainz 05,opponent,28,34,626,393,308,250,68,219,604,36.3,385,4932,1391,28.2,1784,2174,974,546,122,2,424,256,882,849,4
Fußball-Bundesliga,M,GER,2019,vs Nürnberg,opponent,27,34,495,313,203,211,81,177,498,35.5,321,4478,1245,27.8,1168,1995,1315,454,100,0,354,256,751,808,6
Fußball-Bundesliga,M,GER,2019,vs RB Leipzig,opponent,23,34,616,362,324,227,65,208,593,35.1,385,4993,1505,30.1,1996,2243,754,570,113,2,457,330,946,818,11
Fußball-Bundesliga,M,GER,2019,vs Schalke 04,opponent,32,34,604,388,305,246,53,194,619,31.3,425,5078,1411,27.8,1546,2419,1113,470,99,1,371,256,860,708,6
Fußball-Bundesliga,M,GER,2019,vs Stuttgart,opponent,26,34,497,314,265,190,42,157,453,34.7,296,4583,1304,28.5,1357,2156,1070,512,100,2,412,219,716,824,8
Fußball-Bundesliga,M,GER,2019,vs Werder Bremen,opponent,24,34,510,349,273,196,41,138,430,32.1,292,5487,1525,27.8,1903,2555,1029,611,111,4,500,332,842,826,10
Fußball-Bundesliga,M,GER,2019,vs Wolfsburg,opponent,25,34,545,339,276,195,74,155,476,32.6,321,5523,1448,26.2,1735,2466,1322,554,105,3,449,297,842,807,8
Fußball-Bundesliga,M,GER,2018,Augsburg,team,27,34,605,392,304,242,59,201,562,35.8,361,5319,1525,28.7,1700,2445,1174,513,111,2,402,316,921,931,10
Fußball-Bundesliga,M,GER,2018,Bayern Munich,team,28,34,523,343,241,207,75,185,478,38.7,293,4692,1626,34.7,1302,2114,1276,420,85,4,335,272,795,548,3
Fußball-Bundesliga,M,GER,2018,Dortmund,team,30,34,601,395,279,251,71,178,518,34.4,340,5218,1654,31.7,1632,2310,1276,486,81,0,405,274,875,784,7
Fußball-Bundesliga,M,GER,2018,Eint Frankfurt,team,28,34,615,414,276,271,68,196,561,34.9,365,5946,1802,30.3,1786,2837,1323,561,108,5,453,292,907,832,6
Fußball-Bundesliga,M,GER,2018,Freiburg,team,29,34,543,334,262,233,48,167,491,34,324,6041,1584,26.2,1900,2891,1250,522,125,1,397,255,798,1031,10
